GEO_ID,NAME,S1502_C01_001E
29001,"Adair County, Missouri",4058
29003,"Andrew County, Missouri",2877
29005,"Atchison County, Missouri",885
29007,"Audrain County, Missouri",2557
29009,"Barry County, Missouri",3562
29011,"Barton County, Missouri",1460
29013,"Bates County, Missouri",1679
29015,"Benton County, Missouri",1965
29017,"Bollinger County, Missouri",820
29019,"Boone County, Missouri",48512
29021,"Buchanan County, Missouri",12510
29023,"Butler County, Missouri",4040
29025,"Caldwell County, Missouri",1131
29027,"Callaway County, Missouri",6803
29029,"Camden County, Missouri",7392
29031,"Cape Girardeau County, Missouri",15353
29033,"Carroll County, Missouri",1054
29035,"Carter County, Missouri",694
29037,"Cass County, Missouri",18128
29039,"Cedar County, Missouri",1482
29041,"Chariton County, Missouri",977
29043,"Christian County, Missouri",15877
29045,"Clark County, Missouri",644
29047,"Clay County, Missouri",52696
29049,"Clinton County, Missouri",2744
29051,"Cole County, Missouri",17308
29053,"Cooper County, Missouri",2623
29055,"Crawford County, Missouri",1893
29057,"Dade County, Missouri",744
29059,"Dallas County, Missouri",1406
29061,"Daviess County, Missouri",999
29063,"DeKalb County, Missouri",1442
29065,"Dent County, Missouri",1599
29067,"Douglas County, Missouri",1008
29069,"Dunklin County, Missouri",2631
29071,"Franklin County, Missouri",14241
29073,"Gasconade County, Missouri",2003
29075,"Gentry County, Missouri",813
29077,"Greene County, Missouri",56756
29079,"Grundy County, Missouri",1272
29081,"Harrison County, Missouri",953
29083,"Henry County, Missouri",2395
29085,"Hickory County, Missouri",732
29087,"Holt County, Missouri",653
29089,"Howard County, Missouri",1606
29091,"Howell County, Missouri",4499
29093,"Iron County, Missouri",803
29095,"Jackson County, Missouri",144748
29097,"Jasper County, Missouri",17854
29099,"Jefferson County, Missouri",30916
29101,"Johnson County, Missouri",8808
29103,"Knox County, Missouri",422
29105,"Laclede County, Missouri",3546
29107,"Lafayette County, Missouri",4527
29109,"Lawrence County, Missouri",3902
29111,"Lewis County, Missouri",912
29113,"Lincoln County, Missouri",5802
29115,"Linn County, Missouri",1287
29117,"Livingston County, Missouri",2067
29119,"McDonald County, Missouri",1779
29121,"Macon County, Missouri",1649
29123,"Madison County, Missouri",1297
29125,"Maries County, Missouri",891
29127,"Marion County, Missouri",4023
29129,"Mercer County, Missouri",442
29131,"Miller County, Missouri",2852
29133,"Mississippi County, Missouri",1204
29135,"Moniteau County, Missouri",2017
29137,"Monroe County, Missouri",786
29139,"Montgomery County, Missouri",1121
29141,"Morgan County, Missouri",1831
29143,"New Madrid County, Missouri",1561
29145,"Newton County, Missouri",7708
29147,"Nodaway County, Missouri",3466
29149,"Oregon County, Missouri",929
29151,"Osage County, Missouri",1747
29153,"Ozark County, Missouri",842
29155,"Pemiscot County, Missouri",1337
29157,"Perry County, Missouri",2088
29159,"Pettis County, Missouri",5159
29161,"Phelps County, Missouri",8232
29163,"Pike County, Missouri",2065
29165,"Platte County, Missouri",27998
29167,"Polk County, Missouri",4111
29169,"Pulaski County, Missouri",7509
29171,"Putnam County, Missouri",632
29173,"Ralls County, Missouri",990
29175,"Randolph County, Missouri",2626
29177,"Ray County, Missouri",2189
29179,"Reynolds County, Missouri",512
29181,"Ripley County, Missouri",1044
29183,"St. Charles County, Missouri",99685
29185,"St. Clair County, Missouri",935
29186,"Ste. Genevieve County, Missouri",2239
29187,"St. Francois County, Missouri",6555
29189,"St. Louis County, Missouri",297633
29195,"Saline County, Missouri",2731
29197,"Schuyler County, Missouri",342
29199,"Scotland County, Missouri",374
29201,"Scott County, Missouri",3821
29203,"Shannon County, Missouri",915
29205,"Shelby County, Missouri",709
29207,"Stoddard County, Missouri",2727
29209,"Stone County, Missouri",4462
29211,"Sullivan County, Missouri",545
29213,"Taney County, Missouri",6940
29215,"Texas County, Missouri",2590
29217,"Vernon County, Missouri",2438
29219,"Warren County, Missouri",4317
29221,"Washington County, Missouri",1615
29223,"Wayne County, Missouri",988
29225,"Webster County, Missouri",4180
29227,"Worth County, Missouri",259
29229,"Wright County, Missouri",1410
29510,"St. Louis city, Missouri",76966
